ジャンル,テーマ
自己紹介,最近ハマっていることは？
趣味,好きな映画やドラマは？
旅行,今までで一番良かった旅行先は？
食べ物,好きな食べ物・嫌いな食べ物は？
仕事,仕事でやりがいを感じる瞬間は？
音楽,最近聴いている音楽は？
本,最近読んだおすすめの本は？
スポーツ,好きなスポーツやチームは？
テレビ,最近ハマっているテレビ番組は？
休日,休日の過ごし方は？
季節,好きな季節とその理由は？
ペット,ペットを飼っていますか？どんな種類ですか？
子供の頃,子供の頃の夢は何でしたか？
学校,学生時代の思い出は？
特技,あなたの特技や才能は？
朝型・夜型,朝型？夜型？その理由は？
SNS,最もよく使うSNSは？
ゲーム,好きなゲームは？
恋愛,理想のデートプランは？
未来,10年後どうなっていたい？
お笑い,好きな芸人やコメディアンは？
ファッション,好きなファッションスタイルは？
健康,健康のために気をつけていることは？
お金,お金があったらやりたいことは？
国際,行ってみたい国や地域は？
言語,話せる言語や勉強中の言語は？
料理,得意な料理は？
家族,家族との思い出は？
友達,友達との面白いエピソードは？
運動,最近の運動習慣は？
夢,叶えたい夢や目標は？
失敗,最近の失敗談は？
成功,最近の成功体験は？
ストレス解消,ストレス解消法は？
インターネット,よく見るWebサイトやYouTubeチャンネルは？
技術,最近気になる技術や製品は？
環境問題,環境問題について考えることは？
社会問題,関心のある社会問題は？
哲学,人生のモットーは？
芸術,好きなアート作品や芸術家は？
記念日,特別な記念日はありますか？
時間管理,時間管理のコツは？
チャレンジ,最近挑戦したことは？
学び,最近学んだことで面白かったことは？
変化,最近の生活で変わったことは？
将来,将来やってみたい仕事や趣味は？
幸せ,あなたにとっての幸せとは？
感謝,最近感謝したことは？
驚き,最近驚いたことは？
発見,最近の発見や気づきは？ 